nohup: ignoring input
node selected: 0
node selected: 14
node selected: 8
node selected: 3
node selected: 9
node selected: 4
node selected: 9
node selected: 7
node selected: 1
node selected: 3
node selected: 5
node selected: 6
node selected: 0
node selected: 1
node selected: 3
node selected: 0
node selected: 0
parameter name actor.gc1.weight parameter value tensor(1.00000e-02 *
       [[-0.7533, -0.7920,  1.4321],
        [ 1.5255, -0.8220,  0.7573],
        [-0.4664,  1.4652, -0.1140]], device='cuda:0')
parameter name actor.gc1.a parameter value tensor([[-0.6024],
        [ 0.3741],
        [-0.2633],
        [ 0.6714],
        [ 0.5574],
        [ 0.7150]], device='cuda:0')
parameter name actor.gc1.bias parameter value tensor(1.00000e-02 *
       [[-0.0944, -2.6041,  0.5327]], device='cuda:0')
parameter name actor.gc2.weight parameter value tensor(1.00000e-02 *
       [[ 1.0345,  0.6951,  0.1422],
        [ 1.2427, -0.0631, -1.4460],
        [-0.1176, -0.2341,  0.7312]], device='cuda:0')
parameter name actor.gc2.a parameter value tensor([[-0.9566],
        [-0.6822],
        [-1.9340],
        [ 1.1368],
        [ 0.4525],
        [ 0.3557]], device='cuda:0')
parameter name actor.gc2.bias parameter value tensor(1.00000e-03 *
       [[-7.2194,  7.1707,  2.5987]], device='cuda:0')
parameter name actor.gc3.weight parameter value tensor(1.00000e-02 *
       [[-0.6461,  1.9206,  1.5957],
        [ 0.6131, -0.7574,  0.7997],
        [ 1.7174, -1.5391, -0.2828]], device='cuda:0')
parameter name actor.gc3.a parameter value tensor([[ 1.0012],
        [-0.5404],
        [ 0.2274],
        [-0.0129],
        [-0.3859],
        [ 1.3965]], device='cuda:0')
parameter name actor.gc3.bias parameter value tensor(1.00000e-02 *
       [[-0.8249, -2.4770, -0.2488]], device='cuda:0')
parameter name actor.gc4.weight parameter value tensor(1.00000e-02 *
       [[ 1.9266,  0.0974,  1.6824],
        [ 1.1110,  1.4176, -0.4114],
        [ 0.7386,  0.0099,  0.6742]], device='cuda:0')
parameter name actor.gc4.a parameter value tensor([[ 0.1475],
        [-1.0176],
        [ 0.1102],
        [-1.3011],
        [-0.1895],
        [ 0.5452]], device='cuda:0')
parameter name actor.gc4.bias parameter value tensor(1.00000e-02 *
       [[ 2.4375,  0.2285, -0.6314]], device='cuda:0')
parameter name actor.gc5.weight parameter value tensor(1.00000e-02 *
       [[ 1.4648],
        [ 0.3247],
        [-2.2279]], device='cuda:0')
parameter name actor.gc5.a parameter value tensor([[-0.0987],
        [-0.5014]], device='cuda:0')
parameter name actor.gc5.bias parameter value tensor(1.00000e-02 *
       [[ 3.8838]], device='cuda:0')
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/rl/train_a2c_mc.py:542: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_gcn = np.sum(val_gcn_greedy) / len(val_gcn_greedy)
/local_workspace/liudefen/PycharmProjects/PycharmProjects/GraphRL/rl/train_a2c_mc.py:548: RuntimeWarning: invalid value encountered in double_scalars
  _val_ave_mind = np.sum(val_mind) / len(val_mind)
epochs 0 loss -768.5791625976562 train min_degreeperformance 8706.0 train gcn performance 223737.0 val min_degreeperformance nan val gcn performance nan
node selected: 916
node selected: 845
node selected: 1007
node selected: 215
node selected: 843
node selected: 999
node selected: 1160
node selected: 121
node selected: 28
node selected: 1002
node selected: 1120
node selected: 411
node selected: 604
node selected: 1203
node selected: 21
node selected: 1106
node selected: 3
node selected: 279
node selected: 437
node selected: 1242
node selected: 349
node selected: 970
node selected: 581
node selected: 130
node selected: 402
node selected: 1067
node selected: 1069
node selected: 170
node selected: 631
node selected: 1242
node selected: 1146
node selected: 1168
node selected: 454
node selected: 1222
node selected: 355
node selected: 502
node selected: 298
node selected: 12
node selected: 346
node selected: 364
node selected: 672
node selected: 412
node selected: 1159
node selected: 260
node selected: 167
node selected: 402
node selected: 604
node selected: 944
node selected: 1239
node selected: 520
node selected: 423
node selected: 1178
node selected: 369
node selected: 247
node selected: 764
node selected: 177
node selected: 191
node selected: 787
node selected: 936
node selected: 449
node selected: 335
node selected: 212
node selected: 942
node selected: 1017
node selected: 1022
node selected: 896
node selected: 1126
node selected: 424
node selected: 1011
node selected: 693
node selected: 893
node selected: 389
node selected: 665
node selected: 404
node selected: 455
node selected: 517
node selected: 676
node selected: 724
node selected: 564
node selected: 137
node selected: 272
node selected: 748
node selected: 717
node selected: 940
node selected: 986
node selected: 1150
node selected: 913
node selected: 30
node selected: 644
node selected: 1056
node selected: 1092
node selected: 81
node selected: 195
node selected: 460
node selected: 898
node selected: 762
node selected: 834
node selected: 1163
node selected: 728
node selected: 553
node selected: 273
node selected: 1029
node selected: 208
node selected: 89
node selected: 705
node selected: 94
node selected: 1087
node selected: 572
node selected: 1028
node selected: 904
node selected: 765
node selected: 415
node selected: 275
node selected: 481
node selected: 550
node selected: 1148
node selected: 522
node selected: 64
node selected: 731
node selected: 355
node selected: 262
node selected: 705
node selected: 335
node selected: 250
node selected: 240
node selected: 180
node selected: 781
node selected: 166
node selected: 65
node selected: 235
node selected: 929
node selected: 187
node selected: 217
node selected: 1060
node selected: 540
node selected: 587
node selected: 64
node selected: 475
node selected: 1150
node selected: 545
node selected: 338
node selected: 269
node selected: 117
node selected: 474
node selected: 623
node selected: 439
node selected: 647
node selected: 814
node selected: 987
node selected: 876
node selected: 726
node selected: 705
node selected: 686
node selected: 534
node selected: 488
node selected: 518
node selected: 1004
node selected: 296
node selected: 180
node selected: 524
node selected: 389
node selected: 487
node selected: 973
node selected: 1042
node selected: 776
node selected: 223
node selected: 987
node selected: 368
node selected: 141
node selected: 541
node selected: 1071
node selected: 264
node selected: 791
node selected: 55
node selected: 329
node selected: 776
node selected: 548
node selected: 204
node selected: 489
node selected: 717
node selected: 356
node selected: 574
node selected: 860
node selected: 614
node selected: 757
node selected: 33
node selected: 1097
node selected: 947
node selected: 841
node selected: 879
node selected: 78
node selected: 554
node selected: 72
node selected: 760
node selected: 750
node selected: 725
node selected: 630
node selected: 108
node selected: 473
node selected: 238
node selected: 306
node selected: 1090
node selected: 497
node selected: 584
node selected: 635
node selected: 825
node selected: 694
node selected: 878
node selected: 930
node selected: 119
node selected: 888
node selected: 322
node selected: 391
node selected: 808
node selected: 761
node selected: 1008
node selected: 293
node selected: 1056
node selected: 445
node selected: 178
node selected: 963
node selected: 644
node selected: 372
node selected: 361
node selected: 295
node selected: 529
node selected: 186
node selected: 266
node selected: 928
node selected: 557
node selected: 257
node selected: 379
node selected: 884
node selected: 486
node selected: 819
node selected: 875
node selected: 772
node selected: 277
node selected: 356
node selected: 330
node selected: 649
node selected: 577
node selected: 623
node selected: 276
node selected: 387
node selected: 735
node selected: 624
node selected: 471
node selected: 611
node selected: 538
node selected: 277
node selected: 546
node selected: 614
node selected: 599
node selected: 816
node selected: 156
node selected: 571
node selected: 211
node selected: 519
node selected: 359
node selected: 606
node selected: 222
node selected: 520
node selected: 369
node selected: 605
node selected: 151
node selected: 814
node selected: 374
node selected: 19
node selected: 971
node selected: 684
node selected: 216
node selected: 151
node selected: 33
node selected: 394
node selected: 134
node selected: 555
node selected: 423
node selected: 683
node selected: 997
node selected: 650
node selected: 429
node selected: 633
node selected: 500
node selected: 636
node selected: 620
node selected: 471
node selected: 332
node selected: 773
node selected: 17
node selected: 363
node selected: 259
node selected: 260
node selected: 124
node selected: 421
node selected: 825
node selected: 448
node selected: 204
node selected: 525
node selected: 655
node selected: 492
node selected: 679
node selected: 208
node selected: 825
node selected: 545
node selected: 508
node selected: 186
node selected: 355
node selected: 475
node selected: 856
node selected: 596
node selected: 72
node selected: 141
node selected: 858
node selected: 653
node selected: 883
node selected: 403
node selected: 96
node selected: 97
node selected: 166
node selected: 527
node selected: 638
node selected: 87
node selected: 892
node selected: 574
node selected: 58
node selected: 965
node selected: 96
node selected: 909
node selected: 782
node selected: 177
node selected: 668
node selected: 870
node selected: 871
node selected: 374
node selected: 550
node selected: 237
node selected: 83
node selected: 24
node selected: 719
node selected: 505
node selected: 569
node selected: 949
node selected: 474
node selected: 674
node selected: 115
node selected: 863
node selected: 185
node selected: 876
node selected: 484
node selected: 818
node selected: 374
node selected: 918
node selected: 840
node selected: 930
node selected: 759
node selected: 292
node selected: 678
node selected: 69
node selected: 358
node selected: 824
node selected: 63
node selected: 284
node selected: 405
node selected: 566
node selected: 421
node selected: 296
node selected: 585
node selected: 380
node selected: 742
node selected: 554
node selected: 767
node selected: 907
node selected: 667
node selected: 761
node selected: 862
node selected: 670
node selected: 648
node selected: 478
node selected: 196
node selected: 619
node selected: 777
node selected: 306
node selected: 552
node selected: 247
node selected: 224
node selected: 121
node selected: 670
node selected: 559
node selected: 686
node selected: 743
node selected: 756
node selected: 311
node selected: 367
node selected: 602
node selected: 633
node selected: 133
node selected: 382
node selected: 562
node selected: 614
node selected: 789
node selected: 215
node selected: 319
node selected: 386
node selected: 368
node selected: 287
node selected: 408
node selected: 813
node selected: 848
node selected: 408
node selected: 4
node selected: 77
node selected: 37
node selected: 868
node selected: 393
node selected: 136
node selected: 722
node selected: 419
node selected: 192
node selected: 283
node selected: 143
node selected: 615
node selected: 106
node selected: 102
node selected: 775
node selected: 800
node selected: 373
node selected: 860
node selected: 453
node selected: 102
node selected: 237
node selected: 124
node selected: 148
node selected: 500
node selected: 559
node selected: 747
node selected: 24
node selected: 70
node selected: 365
node selected: 342
node selected: 722
node selected: 363
node selected: 301
node selected: 481
node selected: 561
node selected: 687
node selected: 227
node selected: 765
node selected: 270
node selected: 273
node selected: 374
node selected: 458
node selected: 308
node selected: 559
